/opt/miniconda3/envs/mdetr/lib/python3.9/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/opt/miniconda3/envs/mdetr/lib/python3.9/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet101_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet101_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/root/mdetr/train.py:151: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(pretrained_path, map_location="cpu")
📂 데이터 로딩 중: /root/dataset/train_mdetr.json
✅ dataset len = 2663
🚀 building model...
📝 using tokenizer: roberta-base
📥 No resume file found. Loading Pre-trained weights: /root/mdetr/checkpoints/pretrained_resnet101_checkpoint.pth
=== Start Training (Epoch 0 ~ 30) ===
[Epoch 4 | Iter 920] loss=85.9603
[Epoch 4 | Iter 940] loss=75.7191
[Epoch 4 | Iter 960] loss=110.6744
[Epoch 4 | Iter 980] loss=124.8322
[Epoch 4 | Iter 1000] loss=103.9087
[Epoch 4 | Iter 1020] loss=70.7399
[Epoch 4 | Iter 1040] loss=93.6952
[Epoch 4 | Iter 1060] loss=97.8421
[Epoch 4 | Iter 1080] loss=81.0653
[Epoch 4 | Iter 1100] loss=113.0568
[Epoch 4 | Iter 1120] loss=72.1853
[Epoch 4 | Iter 1140] loss=54.9303
[Epoch 4 | Iter 1160] loss=93.1722
[Epoch 4 | Iter 1180] loss=68.2218
[Epoch 4 | Iter 1200] loss=67.4925
[Epoch 4 | Iter 1220] loss=76.3315
[Epoch 4 | Iter 1240] loss=35.9443
[Epoch 4 | Iter 1260] loss=63.2055
[Epoch 4 | Iter 1280] loss=70.7869
[Epoch 4 | Iter 1300] loss=88.7429
[Epoch 4 | Iter 1320] loss=115.9836
=== Epoch 4 done | avg_loss=93.9560 ===
Running Checkpoint Saved: outputs/aihub_run1/checkpoint.pth
[Epoch 5 | Iter 0] loss=119.9049
[Epoch 5 | Iter 20] loss=110.9794
[Epoch 5 | Iter 40] loss=75.5069
[Epoch 5 | Iter 60] loss=99.9057
[Epoch 5 | Iter 80] loss=199.9559
[Epoch 5 | Iter 100] loss=84.2095
[Epoch 5 | Iter 120] loss=76.4123
[Epoch 5 | Iter 140] loss=72.2360
[Epoch 5 | Iter 160] loss=71.5746
[Epoch 5 | Iter 180] loss=73.2222
[Epoch 5 | Iter 200] loss=75.0958
[Epoch 5 | Iter 220] loss=74.8350
[Epoch 5 | Iter 240] loss=207.9804
[Epoch 5 | Iter 260] loss=87.6707
[Epoch 5 | Iter 280] loss=118.2924
[Epoch 5 | Iter 300] loss=157.9914
[Epoch 5 | Iter 320] loss=78.7243
[Epoch 5 | Iter 340] loss=97.8894
[Epoch 5 | Iter 360] loss=128.0621
[Epoch 5 | Iter 380] loss=88.2525
[Epoch 5 | Iter 400] loss=109.8224
[Epoch 5 | Iter 420] loss=109.8819
[Epoch 5 | Iter 440] loss=95.5091
[Epoch 5 | Iter 460] loss=65.8168
[Epoch 5 | Iter 480] loss=58.5798
[Epoch 5 | Iter 500] loss=81.7194
[Epoch 5 | Iter 520] loss=126.4874
[Epoch 5 | Iter 540] loss=96.6478
[Epoch 5 | Iter 560] loss=125.8429
[Epoch 5 | Iter 580] loss=58.7834
[Epoch 5 | Iter 600] loss=86.7411
[Epoch 5 | Iter 620] loss=80.7573
[Epoch 5 | Iter 640] loss=82.0184
[Epoch 5 | Iter 660] loss=82.7928
[Epoch 5 | Iter 680] loss=105.1208
[Epoch 5 | Iter 700] loss=46.0967
[Epoch 5 | Iter 720] loss=82.8203
[Epoch 5 | Iter 740] loss=103.0821
[Epoch 5 | Iter 760] loss=64.8550
[Epoch 5 | Iter 780] loss=106.6852
[Epoch 5 | Iter 800] loss=84.6384
[Epoch 5 | Iter 820] loss=67.0763
[Epoch 5 | Iter 840] loss=64.2065
[Epoch 5 | Iter 860] loss=72.9285
[Epoch 5 | Iter 880] loss=70.9606
[Epoch 5 | Iter 900] loss=66.5260
[Epoch 5 | Iter 920] loss=41.3061
[Epoch 5 | Iter 940] loss=67.2528
[Epoch 5 | Iter 960] loss=85.1590
[Epoch 5 | Iter 980] loss=43.9415
[Epoch 5 | Iter 1000] loss=112.5084
[Epoch 5 | Iter 1020] loss=71.7986
[Epoch 5 | Iter 1040] loss=118.4005
[Epoch 5 | Iter 1060] loss=83.7938
[Epoch 5 | Iter 1080] loss=37.5221
[Epoch 5 | Iter 1100] loss=74.4114
[Epoch 5 | Iter 1120] loss=54.3843
[Epoch 5 | Iter 1140] loss=53.5531
[Epoch 5 | Iter 1160] loss=82.3229
[Epoch 5 | Iter 1180] loss=68.0320
[Epoch 5 | Iter 1200] loss=84.1551
[Epoch 5 | Iter 1220] loss=53.8437
[Epoch 5 | Iter 1240] loss=51.6119
[Epoch 5 | Iter 1260] loss=115.5948
[Epoch 5 | Iter 1280] loss=101.2811
[Epoch 5 | Iter 1300] loss=67.5278
[Epoch 5 | Iter 1320] loss=100.8727
=== Epoch 5 done | avg_loss=84.6983 ===
Running Checkpoint Saved: outputs/aihub_run1/checkpoint.pth
